지점명,주소,테마수,전화번호
넥스트에디션 넥스트에디션 신촌점,서울특별시 서대문구 창천동 2-7 B1,"테마 수
7 개","연락처
050-7465-0048"
넥스트에디션 넥스트에디션 건대점,서울특별시 광진구 자양동 17-5 B1,"테마 수
6 개","연락처
024639967"
넥스트에디션 넥스트에디션 부천점,경기도 부천시 원미구 심곡동 175-9 6층,"테마 수
4 개","연락처
032-667-7772"
넥스트에디션 넥스트에디션 부평점,인천광역시 부평구 부평문화로80번길 16 5층,"테마 수
7 개","연락처
070-8865-5424"
넥스트에디션 넥스트에디션 강남점,서울특별시 서초구 강남대로79길 59 B3F,"테마 수
5 개","연락처
02-512-5677"
넥스트에디션 넥스트에디션 건대2호점,"서울특별시 광진구 아차산로192 별관 2,3층","테마 수
6 개","연락처
02-462-1460"
넥스트에디션 넥스트에디션 강남2호점,"서울특별시 강남구 역삼1동 817-18 3, 4F","테마 수
5 개","연락처
02-554-5584"
넥스트에디션 넥스트에디션 분당서현점,경기도 성남시 분당구 서현동 249-4,"테마 수
7 개","연락처
031-781-9020"
넥스트에디션 넥스트에디션 강남3호점,서울특별시 서초구 강남대로65길 7 피렌체빌딩 5층,"테마 수
5 개","연락처
02-533-3108"
넥스트에디션 넥스트에디션 신림점,"서울특별시 관악구 남부순환로 1598, 지하1층","테마 수
5 개","연락처
02-882-3775"
넥스트에디션 넥스트에디션 강남5호점,서울특별시 강남구 강남대로94길 11 지하1층,"테마 수
4 개","연락처
02-558-9818"
넥스트에디션 넥스트에디션 잠실점,"서울특별시 송파구 올림픽로 118, 지하1층","테마 수
4 개","연락처
02-423-8255"
넥스트에디션 넥스트에디션 건대 보네르관,"서울특별시 광진구 화양동 9-19 , 지하1층","테마 수
1 개","연락처
010-6668-7451"
