region,name,loc,genre,star,difficulty,type,activeness,avail_people_lists[1],avail_people_lists[2],avail_people_lists[3],avail_people_lists[4],,,type,
홍대,버킷리스트,덤앤더머 홍대점,감성,3.2,4,1,2,3 people,4 people,,,,,lock,1
홍대,비밀의 방,시크릿코드 홍대점,19금,1.6,2,1,1,2 people,,,,,,both,2
홍대,외과병동,더큐 이스케이프 홍대입구역점,스릴러,2.3,3,1,1,3 people,,,,,,device,3
홍대,원혼괴담,미스터리룸 이스케이프 홍대점,공포,2.4,4,3,2,2 people,3 people,4 people,,,,,
홍대,밴드의 탄생,머더파커 홍대1호점,음악,3.3,2,1,1,2 people,3 people,4 people,,,,activeness,
홍대,인생낚시,이스케이퍼스 2호점,?,4,4,2,2,2 people,3 people,,,,,low,1
홍대,종갓집 민씨,비밀의화원 미드나잇점,코미디,3.5,4,2,1,2 people,3 people,,,,,normal,2
홍대,큐피드 : 러브 첼린지,리얼이스케이프 첼린지,로맨스,3.1,3,1,1,2 people,,,,,,many,3
홍대,사라진 보물 : 대저택의 비밀,비트포비아 홍대던전,잠입,3.6,3,2,2,2 people,3 people,4 people,,,,,
홍대,몽키 하우스,큐브 이스케이프 홍대점,추리,1.8,3,1,1,2 people,,,,,,,
홍대,Trap Train,ESC 홍대점,범죄,2.6,3,1,1,2 people,3 people,,,,,,
홍대,졸업,싸인 이스케이프 홍대점,?,3.9,3,2,1,2 people,3 people,4 people,,,,,
홍대,갓이즈,도어 이스케이프 홍대점,코미디,4.2,4,2,1,2 people,4 people,,,,,,
홍대,주마등,머더파커 홍대1호점,?,3.7,4,1,1,2 people,3 people,4 people,,,,,
홍대,고백,키이스케이프 홍대점,?,4.4,5,2,3,3 people,4 people,,,,,,
홍대,베니,룸엘이스케이프 홍대점,판타지,4,2,2,1,2 people,3 people,,,,,,
홍대,미션(하드모드),시크릿코드 홍대점,범죄,2.8,4,1,1,2 people,3 people,4 people,,,,,
홍대,하이팜,싸인 이스케이프 홍대점,감성,4.1,4,2,2,2 people,3 people,4 people,,,,,
홍대,연애조작단,마스터키 홍대점,로맨스,3.3,1,2,1,2 people,,,,,,,
