테마이름,장르,추천인원수,소속지점,이미지경로
이상한 나라로 출두요,"장르
판타지","추천 인원수
1~2",넥스트에디션 넥스트에디션 강남신논현점,https://www.nextedition.co.kr/shops/Nextedition%20gangnamsinnonhyun
세렌디피티(SERENDIPITY),"장르
감성판타지","추천 인원수
2~4",넥스트에디션 넥스트에디션 건대 보네르관,https://www.nextedition.co.kr/shops/Nextedition%20Gundae%20Bonheur
SOUL CHASER - 실종,"장르
야외방탈출","추천 인원수
2",넥스트에디션 넥스트에디션 건대점,https://www.nextedition.co.kr/shops/NextEdition%20Gundae
SOUL CHASER - 몽유병,"장르
야외방탈출","추천 인원수
2",넥스트에디션 넥스트에디션 신촌점,https://www.nextedition.co.kr/shops/NextEdition%20Sinchon
데.코.연.(데이트 코스 연구회),"장르
로맨스","추천 인원수
2~5",넥스트에디션 넥스트에디션 잠실점,https://www.nextedition.co.kr/shops/Nextedition%20Jamsil
락페스티벌,"장르
Challenge","추천 인원수
3인이상",넥스트에디션 넥스트에디션 잠실점,https://www.nextedition.co.kr/shops/Nextedition%20Jamsil
SOS,"장르
조난","추천 인원수
2~4",넥스트에디션 넥스트에디션 강남5호점,https://www.nextedition.co.kr/shops/Nextedition%20gangnam5
극,"장르
극","추천 인원수
2~4",넥스트에디션 넥스트에디션 신림점,https://www.nextedition.co.kr/shops/Nextedition%20Sinlim
서치(SEARCH),"장르
세기말","추천 인원수
2~5",넥스트에디션 넥스트에디션 강남신논현점,https://www.nextedition.co.kr/shops/Nextedition%20gangnamsinnonhyun
그래도 피망은 먹기 싫단 말이에욧,"장르
참교육","추천 인원수
3인이상(물리적혼방/2인가능)",넥스트에디션 넥스트에디션 강남5호점,https://www.nextedition.co.kr/shops/Nextedition%20gangnam5
작은 악마들,"장르
드라마","추천 인원수
2~5",넥스트에디션 넥스트에디션 잠실점,https://www.nextedition.co.kr/shops/Nextedition%20Jamsil
카페라떼,"장르
?","추천 인원수
2~5",넥스트에디션 넥스트에디션 잠실점,https://www.nextedition.co.kr/shops/Nextedition%20Jamsil
