카페이미지url,지점명,주소,전화번호
http://sherlock-holmes.co.kr/attach/branch/15385583191.png,셜록홈즈 강남2호점,서울특별시 서초구 서초대로77길 43 경원빌딩 4층,02.533.7073
http://sherlock-holmes.co.kr/attach/branch/14876625431.png,셜록홈즈 구리점,경기도 구리시 경춘로 218-5 3층 셜록홈즈 구리점,031.551.9993
http://sherlock-holmes.co.kr/attach/branch/14861077311.png,셜록홈즈 구월인천점,"인천광역시 남동구 성말로 10 (구월동 1463) 효명프라자 5층, 셜록홈즈 구월인천점",032.437.4567
http://sherlock-holmes.co.kr/attach/branch/15329319501.png,셜록홈즈 노량진점,"서울특별시 동작구 노량진동 118-8, 지하1층 셜록홈즈 노량진점",02.827.0054
http://sherlock-holmes.co.kr/attach/branch/15089236531.png,셜록홈즈 노원점,서울특별시 노원구 노해로81길 12-20 민진빌딩 5층,02.951.0522
http://sherlock-holmes.co.kr/attach/branch/15967826121.png,셜록홈즈 뉴안양점,경기도 안양시 만안구 안양로304번길 25 (안양동) 3층 셜록홈즈 뉴안양점,031.465.3663
http://sherlock-holmes.co.kr/attach/branch/16110273761.png,셜록홈즈 대구동성로점,대구광역시 중구 동성로5길 45. 3층 셜록홈즈 대구동성로점,053.253.2225
http://sherlock-holmes.co.kr/attach/branch/16293550391.png,셜록홈즈 대전 신세계백화점,34126 대전광역시 유성구 엑스포로 1 대전 신세계 Art&Science 7층,042.607.8708
http://sherlock-holmes.co.kr/attach/branch/15131325491.png,셜록홈즈 대학로점,서울특별시 종로구 대학로 10길 5 4층(동숭동),02.2277.0198
http://sherlock-holmes.co.kr/attach/branch/15807011401.png,셜록홈즈 동탄점,"경기도 화성시 동탄중심상가2길 5, 리더스 프라자 3층 셜록홈즈 동탄점",031.613.3010
http://sherlock-holmes.co.kr/attach/branch/15500512071.png,셜록홈즈 부천점,"경기도 부천시 부일로 460번길 5, 3층 (심곡동)",032.665.2019
http://sherlock-holmes.co.kr/attach/branch/14992188341.png,셜록홈즈 부평점,"인천광역시 부평구 부평문화로77, 3층(부평동)",032.503.8098
http://sherlock-holmes.co.kr/attach/branch/15452730411.png,셜록홈즈 분당야탑점,"경기도 성남시 분당구 양현로 310번길 25, 2층 202호 셜록홈즈 야탑점",031.706.3600
http://sherlock-holmes.co.kr/attach/branch/15232374611.png,셜록홈즈 성신여대점,서울 성북구 동선동1가 87 4층 셜록홈즈,02.929.8870
http://sherlock-holmes.co.kr/attach/branch/15737112781.png,셜록홈즈 신림2호점,"서울특별시 관악구 신림로 327, 지하1층(신림동) 셜록홈즈 신림2호점 3번출구 도보20초",02.889.6558
http://sherlock-holmes.co.kr/attach/branch/16546711471.png,셜록홈즈 아산점,"충청남도 아산시 번영로 220, 3층",041.546.7799
http://sherlock-holmes.co.kr/attach/branch/14955966151.png,셜록홈즈 여수점,전라남도 여수시 시청동3길 35-18(학동) 대형빌딩 2층,061.685.7105
http://sherlock-holmes.co.kr/attach/branch/15439121371.png,셜록홈즈 의정부점,"경기 의정부시 행복로 16 삼성빌딩 4층, 셜록홈즈 의정부점",031.821.8977
http://sherlock-holmes.co.kr/attach/branch/14861095491.png,셜록홈즈 잠실1호점,"서울특별시 송파구 백제고분로 7길 19 3,4층(잠실동)",02.422.0053
http://sherlock-holmes.co.kr/attach/branch/15598924871.png,셜록홈즈 잠실2호점,서울특별시 송파구 백제고분로 7길 31(잠실동 182-5) 4층 셜록홈즈 잠실2호점,02.418.0153
http://sherlock-holmes.co.kr/attach/branch/15604821971.png,셜록홈즈 종각점,서울특별시 종로구 삼일대로17길 17(관철동 12-23) 4층 셜록홈즈 종각점,02.725.0522
http://sherlock-holmes.co.kr/attach/branch/14861085521.png,셜록홈즈 천안1호점,충청남도 천안시 동남구 신부동 461-10 3층 아리따움 옆 건물 3F,041.553.5677
http://sherlock-holmes.co.kr/attach/branch/15677049341.png,셜록홈즈 천안2호점,천안시 동남구 신부동 461-9 4층 와이틴건물 4층,041.554.5677
http://sherlock-holmes.co.kr/attach/branch/15635276691.png,셜록홈즈 청주점,"충북 청주시 상당구 상당로 81번길 58, 3층",043.222.6750
http://sherlock-holmes.co.kr/attach/branch/15900586511.png,셜록홈즈 평택점,"경기도 평택시 평택2로 10번길 10-4, 2층(평택동)",031.651.7785
http://sherlock-holmes.co.kr/attach/branch/16009328151.png,셜록홈즈 홍대점,"서울 마포구 와우산로27길 35, 제너럴빌딩 301호 셜록홈즈 홍대점",02.335.3360
