테마이름,테마소개,장르,소속지점,이미지경로
[프리미엄]귀로여관 (70분),누군가를 죽인 경험이 있습니까? 그 경험을 나누고 싶습니다. 귀로 여관에서 기다리겠습니다.,공포,셜록홈즈 아산점,http://sherlock-holmes.co.kr/attach/theme/16564009571.jpg
악마를 보았다,"낯선 창고, 익숙하지 않은 공기 사이로 미세하게 위험한 냄새가 풍겨나왔다... 여기서 무슨 일이 벌어지고 있는 걸까?",스릴러,셜록홈즈 아산점,http://sherlock-holmes.co.kr/attach/theme/16564009381.jpg
노룸,들어오지 마세요. 하지만 들어오지 말라고 하는 순간 궁금해서 더 들어가고 싶어지는 법!,퍼즐,셜록홈즈 아산점,http://sherlock-holmes.co.kr/attach/theme/16564009261.jpg
말못해,말못해 앞으로 당신에게 어떤 반전이 있을지는...marmotte,-,셜록홈즈 아산점,http://sherlock-holmes.co.kr/attach/theme/16564009081.jpg
강남이세계,12월 이세계 리마스터버전이 오픈됩니다.,-,셜록홈즈 강남 2호점,http://sherlock-holmes.co.kr/attach/theme/16379326781.jpg
아이러브카페,지금 신선한 장치와 뜨거운 문제로 커피를 내리는 중입니다.,-,셜록홈즈 강남 2호점,http://sherlock-holmes.co.kr/attach/theme/16367713911.jpg
피플인사이드 (40분),주어진시간 40분 남녀노소 국적 상관없이 모두가 즐겁게 즐길 수 있는 아케이드형 방탈출 피플인사이드. 각자 방에갇혀 서로협동을 통해 탈출해야 합니다.,협동,셜록홈즈 대전 신세계,http://sherlock-holmes.co.kr/attach/theme/16318581131.jpg
무한의 던전 (20분),주어진 시간은 20분. 탈출구를 찾아 탈출하는것이 목표입니다.,탈출,셜록홈즈 대전 신세계,http://sherlock-holmes.co.kr/attach/theme/16312475121.jpg
언더월드,스팀펑크시대의 개구쟁이천재소녀발명가 조이! 갖가지 발명품들을 만들며 지내고있다 오늘도의뢰받은물건을 배달해보실까!,판타지,셜록홈즈 대전 신세계점,http://sherlock-holmes.co.kr/attach/theme/16297797541.jpg
대마법사 오셀로,"[스승님, 마법사가 되고 싶습니다. 제자로 받아주십시오.] 봉인의 탑에서 어언 24년... 그렇게 마흔넷이 되었다.",-,셜록홈즈 -,http://sherlock-holmes.co.kr/attach/theme/16178550361.jpg
[웹툰원작] 타인은 지옥이다,"인간은 사실 공존할수 없는 동물일수도 있어, 서로 필요때문에 어쩔수없이 사는거야. 여기다 쓰는말인지 모르겠는데 ‘타인은 지옥이다’라는 말이 있잖아요..?",스릴러,셜록홈즈 강남2호점,http://sherlock-holmes.co.kr/attach/theme/15678248911.jpg
웨딩크루즈 살인사건-2탄,"거대 부호 김만술과 그의 아내 미치코는 결혼생활 10주년을 기념하기 위해 호화 크루즈 여행을 떠나게 되었다, 로맨틱한 웨딩 크루즈 여행을 꿈꿨것만.. 크루즈 안에서 김만술은 시체로 발견된다. 용의자는 김만술씨의 아내 미치코를 포함한 탑승객 4명! 크루즈 여행으로 휴가길에 올랐던 명탐정 셜록홈즈는 여행길에서 다시 살인사건을 맡게 되는데..?!",추리,셜록홈즈 안양점외,http://sherlock-holmes.co.kr/attach/theme/15928171051.jpg
중고로운 평화나라,다가오는 여자친구와의 기념일. 여자친구에게 명품백을 선물해주고 싶지만 너무 높은 가격에 좌절하게 되는 한남자.. 결국 그가 찾게 된 것은 중고거래 사이트에서 발견한 감쪽같은 명품가방! 이 이야기의 끝은 어떻게 될 것인지!,"코미디,스릴러","셜록홈즈 안양, 노량진점",http://sherlock-holmes.co.kr/attach/theme/15921906361.jpg
반하셨군요?,방탈출 카페에서 알바 하는 같은 과 여사친(?) 미정이가 은밀하게 나에게 말했다. <오늘 저녁에 나 알바 하는데 올래?>,-,셜록홈즈 노량진점,http://sherlock-holmes.co.kr/attach/theme/15911791411.jpg
[19금]찰리와 늠름한(?) 바나나 공장,인류는 어느때보다 심각한 위기에 직면하게 된다. 저조한 출산율! 원인은 점점더 작아지고(?) 씨없는 수박이 되어가는(?!) 남성들때문... 각국에서는 크고 엄청난 자를 선별해 고개숙인 남성들을 일으켜세울 프로 젝트를 진행하게 되는데... [만 19세 미만은 체험이 제한됩니다.],-,셜록홈즈 -,http://sherlock-holmes.co.kr/attach/theme/15911744141.jpg
황금 감옥 : 와캄,지금까지 봐왔던 감옥들과는 사뭇 다른 분위기의 낯선 감옥. 그 안에서 펼쳐진 끝을 알 수 없는 새로운 이야기. 이전까지 경험할 수 없었던 색다른 테마가 당신을 기다립니다.,-,셜록홈즈 -,http://sherlock-holmes.co.kr/attach/theme/15879559821.jpg
지프리트의 심장,"[플리퍼 시티 에피소드 01] 잊혀진 이야기 속에 전해지는 순수 에너지의 결정체 ""지프리트의 심장""을 찾기 위해 플리퍼 시티를 헤매던 일행. 마을 외곽의 한 골동품 점에서 가고자 하는 곳의 좌표를 알려준다는 검은 주사위를 얻는다. 검은 주사위가 만들어 준 좌표를 통해 도착한 곳은 알 수 없는 낡은 기관실. 그곳의 수수께끼를 풀고 지프리트의 심장을 찾아낼 수 있을까",판타지,셜록홈즈 노원,http://sherlock-holmes.co.kr/attach/theme/15847493791.jpg
거짓말,"한적한 오후, 맑은 공기를 마시며 여유롭게 공원에 산책을 나온 당신. 곳곳엔 데이트 하는 연인들, 반려동물과 산책하는 사람들. 이 곳에 혼자 있는 건 당신뿐이었지만 이내 곧 벤치에 앉아 있는 그녀를 만날 수 있었다.",감성테마,셜록홈즈 #동탄점,http://sherlock-holmes.co.kr/attach/theme/15813901681.jpg
귀신이 산다,커뮤니티 사이트에서 귀신구경이라는 제목의 글을 본 당신. 귀신을 믿진 않지만 호기심이 들어 친구들과 함께 문제의 집을 방문하게 되는데..,공포체험,셜록홈즈 동탄점,http://sherlock-holmes.co.kr/attach/theme/15813900701.jpg
던전:비밀의문,길을 걷다 우연히 발견한 빨간 우체통의 편지 한통... 편지에 이끌려 마을에 도착하게 된 당신!! 드디어 비밀의 문을 열게 되는데....,판타지,셜록홈즈 천안2호점,http://sherlock-holmes.co.kr/attach/theme/15795893531.jpg
꽃길,"꿈만 같던 나의 결혼식이 코앞으로 다가왔다. 난 평생 혼자 살다가 대마법사가 될 줄 알았는데...ㅇㅅㅇ;; 맨날 친구들 결혼식에서 또 다른 친구의 청첩장을 받아오고 명절마다 ""넌 언제 시집가니?"" 잔소리 듣는것도 이젠 끝이다!!! 나에게도 이런 날이 오다니 ㅠㅠ 너무 감격스럽다!!! 그런데 결혼 준비하다가 싸우고 헤어지는 사람이 있다고 할 정도로 준비할 것이 엄청나다던데 ㅠㅠ ... 상견례, 웨딩홀 예약, 스드메 계약, 예물, 웨딩 촬영, 나... 잘 할 수 있을까?? 까짓거 남들 다 하는 결혼, 나도 멋지게 보란듯이 해보자!!!",-,셜록홈즈 대전둔산점,http://sherlock-holmes.co.kr/attach/theme/15792325931.jpg
[50분]문제방 매운맛,방탈출 최소 50회 이상의 숙련자에게만 추천합니다!,기타,셜록홈즈 홍대,http://sherlock-holmes.co.kr/attach/theme/15772475991.jpg
인생은 실전이다 종만아,"게임을 좋아하는 종만이는 오늘도 게임만 한다.""이세상 모든게 게임이었으면 좋겠다""",스릴러,셜록홈즈 천안2호,http://sherlock-holmes.co.kr/attach/theme/15732231951.jpg
[프리미엄 테마]미즈몰리아와 수수께끼의 책,무슨 책을 찾고있니 꼬마야.유쾌한책 유익한책. 감동적이거나 슬픈책. 그게 아니면 ...수수께끼의 책을 찾고있니?,판타지,셜록홈즈 천안2호,http://sherlock-holmes.co.kr/attach/theme/15677634951.jpg
TIED,국민톱스타 방수지양을 무려 20년간 스토킹해온 범인이 마침내 경찰에 붙잡혔다. 극악무도한 범인에게 사형을 요구한다는 국민청원이 20만명을 넘었으며 이에 국회는 방수지특별법을 발의했다.,드라마,셜록홈즈 천안2호,http://sherlock-holmes.co.kr/attach/theme/15672395511.jpg
기억을 걷는 시간,"어느날 갑자기 이별을 고하고 떠난 여친.왜 인지 그 이유는 알수 없고, 그런 그에게 전해지는 추억을 판매하는 카페 , 기억을 걷는 시간. 그 곳을 찾아가는데... (야외 방탈출로 진행됩니다)",감성,셜록홈즈 강남1호,http://sherlock-holmes.co.kr/attach/theme/15669793151.png
죽음의 신,오늘의 마지막 손님을 모시러 갑니다,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15669500731.jpg
파란지붕집,설녹읍 설녹2리 14-3 산 아래 파란지붕집에 어서오세요.,호러,셜록홈즈 구월,http://sherlock-holmes.co.kr/attach/theme/15668747371.jpg
던전을 부탁해,비인기 온라인게임 세헤라자드의 랭킹 1위인 당신. 그리고 오늘은 세헤라자드의 섭종전 마지막날이다.,판타지,셜록홈즈 구월,http://sherlock-holmes.co.kr/attach/theme/15668746691.jpg
좀비여친,바이러스 변이를 연구하는 내여친 어느날 나를 은밀하게 초대하는데?,판타지,셜록홈즈 구월,http://sherlock-holmes.co.kr/attach/theme/15667250921.jpg
사라민,모일사 나팔라 백성민 본격 조선시대 구인구직소 사라민,역사,셜록홈즈 구월,http://sherlock-holmes.co.kr/attach/theme/15667225401.jpg
퓨처리스트,"정해진 미래를 바꿀 수는 없습니다. 나는 단지 그 미래를 그릴 뿐입니다. 2008년 중국, 미래를 그리는 한 화가가 있었다.",드라마,셜록홈즈 잠실2호,http://sherlock-holmes.co.kr/attach/theme/15661930271.jpg
꿈꾸는 자동차 B팀(1980년대)(플레이 타임 40분),"5살 대현이는 항상 새벽에 출근해서 밤늦게 들어오는 아빠가 너무 보고 싶어요. 이제는 아빠 얼굴도 잘 기억나지 않는 것 같아요 아빠는 언제 올까요? 오늘은 대현이의 생일인데 말이에요. 아빠가 대현이가 요즘 푹 빠져있는 자동차 장난감을 선물해 주기로 했단 말이에요 엄마는 빨리 자라고 했지만, 이불 속에서 몰래 나와 아빠를 기다릴 거에요! 엄마 몰래 방에서 나와 아빠를 만날 수 있을까요?",판타지,셜록홈즈 전주한옥마을,http://sherlock-holmes.co.kr/attach/theme/15655916651.jpg
꿈꾸는 자동차 A팀(2019현대)(플레이 시간 40분),"항상 바쁜 아빠의 뒷모습만 보고 자라온 김대현씨는 어느덧 무럭무럭 자라 돌아가신 아버지의 뒤를 이어 한국자동차에 입사했어요 그러던 어느날 아버지의 유품에서 수상한 설계도를 발견했어요 항상 바빴던 아버지, 그런 아버지와의 추억이 없는 대현씨는 유일하게 남아있는 아버지와의 연결고리인 이 설계도에 끌려 이 것을 통해 아버지의 발자취를 찾으러 지금 바로 연구실로 발걸음을 옮깁니다.",판타지,셜록홈즈 전주한옥마을,http://sherlock-holmes.co.kr/attach/theme/15655912711.jpg
마주보다,"발걸음을 떼기 힘들만큼 숨이 조여오던 힘든 날. 나, 파이터 허재현이 널 마주봤어. 내 마음의 노래를 듣고 너도 나를 마주봐줘.",힐링,셜록홈즈 연신내 외,http://sherlock-holmes.co.kr/attach/theme/15653605501.jpg
세번째밤,압박감. 긴장감. 계속해서 반복되는 악몽에 나는 매일 밤 잠을 이루지 못한다. 그리고 오늘 꿈에 새로운 메세지가 나타나는데...,스릴러,셜록홈즈 신촌,http://sherlock-holmes.co.kr/attach/theme/15512484261.jpg
나랏말싸미,"아주 먼 옛날, 하루 벌어 하루 먹고 살기도 바쁜 나무꾼 송 가. 어느 때와 다름없이 평화로운 날을 보내던 송가는 문서를 하나 발견하고... 그런데 이걸 어떻게 읽더라?",-,셜록홈즈 -,http://sherlock-holmes.co.kr/attach/theme/16103439101.jpg
이 아이를 기억해주세요,영원할 줄로만 알았던 순간들이 예고도 없이 사라지게 되었다. 그렇게 나의 숨바꼭질은 시작되었다.,-,셜록홈즈 -,http://sherlock-holmes.co.kr/attach/theme/16103438271.jpg
숙제,"이 정도 쯤이야, 별거 아니었는...데?",,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15632650501.jpg
단잠,"몸도 마음도 지친 퇴근길, 지하철역에서 마주한 낯선 포스터 하나. 지친 당신에게 위로가 될 피아노 콘서트 : 단잠. 지금 시작합니다.",감성,셜록홈즈 잠실2호,http://sherlock-holmes.co.kr/attach/theme/15614261891.jpg
랑슈 뷰티연구소,당신의 아름다움을 찾아드립니다.,드라마,셜록홈즈 잠실2호,http://sherlock-holmes.co.kr/attach/theme/15610958651.jpg
기묘한 방탈출,넷플릭스 인기 시리즈 <기묘한이야기> 시즌3의 7월 4일 공개를 기념하여 <기묘한 이야기> 팝업존 ‘기묘한 세계’로 여러분을 초대합니다.,판타지,셜록홈즈 홍대팝업스토어,http://sherlock-holmes.co.kr/attach/theme/15598933441.png
170cm즈음에,이 이야기가 감히 당신의 반면교사가 되었으면 좋겠습니다.,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15512484911.jpg
마에스트로,서대문 경찰서의 신참인 당신은 선배의 월차로 인해서 선배가 맡았던 사건인 신촌역에서 소란을 피우는 노인을 대신 조사하게 된다. 10년이 넘게 신촌 만남의 장소에서 기타 치는 노인은 이번이 처음 온 게 아닌 수 차례 소란을 피웠다는 사실을 알게 되고 이 노인을 조사하게 되는데…,,셜록홈즈 ,http://sherlock-holmes.co.kr/attach/theme/15502139311.jpg
[NEW]나쁜놈 나쁜놈 나쁜놈,엘파소 최대 갱단 보스 플로이드가 보안관들에게 잡혀 교수형에 처하게됬다. 방금 임무를 마치고 돌아온 조직원 브라이언은 뜻밖의 소식에 교수형 현장으로 달려간다. (나쁜놈 나쁜놈 나쁜놈 문제 리뉴얼 버전입니다),어드벤처,셜록홈즈 부평,http://sherlock-holmes.co.kr/attach/theme/15446918861.jpg
노량진 고시생의 사랑-여자편,"안녕? 난 노량진에서 고시 공부중인 김민지라고 해! 계속되는 불합격 소식과 생활고로 인해 힘들고 우울한 날이 계속 되지만 유일한 가족인 소중한 엄마와, 7년동안 사귄 멋진 남자친구가 있어 버틸만 해! 오늘은 내 29번째 생일이야. 평소같은 나날을 보내다 내 반지하 고시원에 들어간 순간 ‘어머나!’ 깜짝 놀랬어. 내 이야기를 한번 들어 보겠니..?",드라마감성,셜록홈즈 노량진점외,http://sherlock-holmes.co.kr/attach/theme/15375002701.jpg
어린왕자,"장미와 다툰 뒤, 생각할 시간을 갖기 위해 여행을 떠나는 어린왕자. 항해 도중 연료가 부족해 지구의 어느 사막에 불시착하게 된다. 연료를 구하기 위해 이리저리 사막을 탐험하던 중 예기치 않는 상황을 조우하게 되는데...",감성SF,셜록홈즈 노량진점외,http://sherlock-holmes.co.kr/attach/theme/15330166641.jpg
