강남이세계,셜록홈즈 강남2호점,http://sherlock-holmes.co.kr/attach/theme/16379326781.jpg,-,-,12월 이세계 리마스터버전이 오픈됩니다.
아이러브카페,셜록홈즈 강남2호점,http://sherlock-holmes.co.kr/attach/theme/16367713911.jpg,-,-,지금 신선한 장치와 뜨거운 문제로 커피를 내리는 중입니다.
[웹툰원작] 타인은 지옥이다,셜록홈즈 강남2호점,http://sherlock-holmes.co.kr/attach/theme/15678248911.jpg,스릴러,-,"인간은 사실 공존할수 없는 동물일수도 있어, 서로 필요때문에 어쩔수없이 사는거야. 여기다 쓰는말인지 모르겠는데 ‘타인은 지옥이다’라는 말이 있잖아요..?"
보헤미아 왕국의 스캔들,셜록홈즈 강남2호점,http://sherlock-holmes.co.kr/attach/theme/15223022191.jpg,드라마,-,보헤미아의 왕과 스칸디나비아 공주의 결혼. 그러나 가수 아이린과의 스캔들로 인해 공주 가문과의 파혼을 걱정하는 왕은 결국 탐정 셜록홈즈에게 그녀에게서 그와 관련된 흔적들을 지워달라 요청하는 데.. 수사 의뢰를 받고 사진을 비롯한 흔적들을 지우기 위해 나서는 셜록홈즈..그러나 뜻 밖의 아이린의 결혼 사실을 알게 되고.. 그는 과연 사건을 해결할 수 있을까?
지옥의 배달부,셜록홈즈 강남2호점,http://sherlock-holmes.co.kr/attach/theme/15755979581.jpg,판타지,-,평소 열혈배달부로 소문난 김모군. 아주머니로 부터 아들 생일 날 된장국을 식지 않게 배달해 줄 것을 요청받는다. 고객 이모솔의 집에 방문해보니.... 된장국을 왜 먹지를 못하누ㅠ.ㅠ 배달부의 사명을 위해 지옥까지 쫓아간다! 본격 코믹호러힐링감동대서사시! (지옥의 라이더 테마업데이트 버전입니다!)
혼:원혼의저주,셜록홈즈 구리점,http://sherlock-holmes.co.kr/attach/theme/15108152571.jpg,-,-,12년 전 문을 닫은 폐병원. 그 곳에 들어간 사람들중 누구도 살아서 나오지 못했다는 흉흉한 소문에 궁금증이 생긴 당신. 인적이 끊긴 병원에 찾아가보기로 하는데... 병원 입구에서부터 풍기는 오싹하고 음침한 기운. 들어가자마자 갇히고 만다. 당신은 원혼의 저주를 풀고 이 곳에서 빠져나갈 수 있을 것인가?
호텔:사라진 다이아몬드,셜록홈즈 구리점,http://sherlock-holmes.co.kr/attach/theme/15234169491.jpg,-,-,"설록호텔의 귀중품 대형 다이아몬드 ‘가이아의축복’이 사라졌다. 호텔내부 사람 말고는 출입을 못하는 곳인데.. 과연, 누가 이곳에서 범행을 저질렀을까? 당신은 설록호텔의 귀중품 대형다이아몬드를 훔친 범인을 한시간 안에 찾아내야한다."
무속인 살인사건,셜록홈즈 구리점,http://sherlock-holmes.co.kr/attach/theme/15138466051.jpg,-,-,"TV에 출연할 정도로 유명한 무속인 이 어느 날 싸늘한 시체로 발견? 피해자는 TV에 출연하여 화려한 달변과 점술로 유명해진 박수무당으로, 어느 날 자신의 점집에서 잘린 머리가 불에 탄 채 단골 고객에게 발견되었다. 과연 어떠한 연유로 박무당 은 죽음을 맞이해야 했는가? 빛나는 추리로 진실을 파헤쳐 보자."
미녀와야수,셜록홈즈 구리점,http://sherlock-holmes.co.kr/attach/theme/15268939671.jpg,-,-,벨의 아버지는 딸에게 줄 장미를 꺾은 죄로 야수의 성에 갖히게된다. 아버지를 구하기 위해 야수의 성을 찾아가는 벨 야수의 성에는 놀라운 비밀이 있는데.. 비밀을 밝혀내는 과정에서 야수와의 사랑에 빠지게 되고 과연 두사람은 역경을 겪어내고 사랑의 결실을 이룰수 있을까? 원작의 스토리에 충실한 영화형 방탈출카페가 여러분을 기다립니다.
반고흐의방,셜록홈즈 구리점,http://sherlock-holmes.co.kr/attach/theme/14861117201.jpg,-,-,"시간여행자인 당신. 우연히 반 고흐의 마지막날로 여행하게 되었다. 자살을 앞둔 고흐와, 관련된 비밀들. 이 모든 것을 풀어 고흐를 자살로 부터 구하지 못한 다면 영영 시간의 늪에 빠질것이다. 자 이제 당신에게 타이머가 주어졌다."
