이상한 나라로 출두요,넥스트에디션 강남신논현점,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%9D%B4%EC%83%81%ED%95%9C%20%EB%82%98%EB%9D%BC%EB%A1%9C%20%EC%B6%9C%EB%91%90%EC%9A%94/poster_theme__%E1%84%8B%E1%85%B5%E1%84%86%E1%85%B5%E1%84%8C%E1%85%B5_%EC%9D%B4%EC%83%81%ED%95%9C%20%EB%82%98%EB%9D%BC%EB%A1%9C%20%EC%B6%9C%EB%91%90%EC%9A%94.jpg,판타지,1~2,"""악랄한 도적떼인 '토깽단'이 조선에 출몰하여,
백성들에게 약탈을 일삼아 나라가 혼란스럽도다.
이에 L.이수는 '토깽단'의 수장인 '시계토끼'의 근거지를 찾아
반드시 생포하여 오도록 하라!"""
세렌디피티(SERENDIPITY),넥스트에디션 건대 보네르관,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%84%B8%EB%A0%8C%EB%94%94%ED%94%BC%ED%8B%B0(SERENDIPITY)/poster_theme__PNG%E1%84%91%E1%85%A1%E1%84%8B%E1%85%B5%E1%86%AF%E1%84%87%E1%85%A9%E1%86%AB_%EC%84%B8%EB%A0%8C%EB%94%94%ED%94%BC%ED%8B%B0(SERENDIPITY).jpg,감성판타지,2~4,"나는 오늘,
잃어버린 꿈을 찾기위해서 사직서를 내려합니다."
SOUL CHASER - 실종,넥스트에디션 건대점,https://next-edition.s3.amazonaws.com/theme/title_image_url/SOUL%20CHASER%20-%20%EC%8B%A4%EC%A2%85/poster_theme__%E1%84%89%E1%85%B5%E1%86%AF%E1%84%8C%E1%85%A9%E1%86%BC_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_SOUL%20CHASER%20-%20%EC%8B%A4%EC%A2%85.jpg,야외방탈출,2,"소울 체이서란,
이승에서 떠나지 못한 영혼들을 추적하여
찾아내는 자들이다.
이번 영혼에게는 어떠한 사연이 있는 것일까?

* 야외에서 진행되는 테마입니다.
* 야외 시설물(건물 옥상)이 아닌 온전히 야외에서만 즐기실 수 있는 테마입니다.
* 추가로 궁금하신 점이 있으시면 매장으로 문의 부탁드립니다."
SOUL CHASER - 몽유병,넥스트에디션 신촌점,https://next-edition.s3.amazonaws.com/theme/title_image_url/SOUL%20CHASER%20-%20%EB%AA%BD%EC%9C%A0%EB%B3%91/poster_theme__KakaoTalk_Photo_2020-05-08-14-12-21_SOUL%20CHASER%20-%20%EB%AA%BD%EC%9C%A0%EB%B3%91.jpg,야외방탈출,2,"소울 체이서란,
이승에서 떠나지 못한 영혼들을 추적하여
찾아내는 자들이다.
이번 영혼에게는 어떠한 사연이 있는 것일까?

* 야외에서 진행되는 테마입니다."
데.코.연.(데이트 코스 연구회),넥스트에디션 잠실점,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EB%8D%B0.%EC%BD%94.%EC%97%B0.(%EB%8D%B0%EC%9D%B4%ED%8A%B8%20%EC%BD%94%EC%8A%A4%20%EC%97%B0%EA%B5%AC%ED%9A%8C)/poster_theme__%E1%84%83%E1%85%A6%E1%84%8F%E1%85%A9%E1%84%8B%E1%85%A7%E1%86%AB_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__%EB%8D%B0.%EC%BD%94.%EC%97%B0.(%EB%8D%B0%EC%9D%B4%ED%8A%B8%20%EC%BD%94%EC%8A%A4%20%EC%97%B0%EA%B5%AC%ED%9A%8C).jpg,로맨스,2~5,"누군가에게는
유치할 수도 있는,

누군가에게는
입가에 미소를 짓게 할,

그런 이야기."
락페스티벌,넥스트에디션 잠실점,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EB%9D%BD%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C/poster_theme__%E1%84%85%E1%85%A1%E1%86%A8%E1%84%91%E1%85%A6%E1%84%89%E1%85%B3%E1%84%90%E1%85%B5%E1%84%87%E1%85%A5%E1%86%AF_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A7%E1%86%BC__%EB%9D%BD%ED%8E%98%EC%8A%A4%ED%8B%B0%EB%B2%8C.jpg,Challenge,3인이상,"ROCK!
LOCK!
樂!

도전하라!

* 문제가 매우 많고 어려운 문제방이기에,
3인 이상이 플레이 하시는 것을 추천드립니다."
SOS,넥스트에디션 강남5호점,https://next-edition.s3.amazonaws.com/theme/title_image_url/SOS/poster_theme__SOS_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__SOS.jpg,조난,2~4,"꿈에 그리던
오로라를 보러갑니다"
극,넥스트에디션 신림점,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EA%B7%B9/poster_theme__%E1%84%80%E1%85%B3%E1%86%A8%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%EA%B7%B9.jpg,극,2~4,우리 약속 기억나?
서치(SEARCH),넥스트에디션 강남신논현점,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EC%84%9C%EC%B9%98(SEARCH)/poster_theme__%E1%84%89%E1%85%A5%E1%84%8E%E1%85%B5_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%EC%84%9C%EC%B9%98(SEARCH).jpg,세기말,2~5,"눈을떠보니 일수럾는 기계장치의 내부.이곳이 어디인지,내가 누구안지 전혀 기억이 나지 않은는다. 그때 들려오는 목소리. ""SEED를 실행하십시오."" SEED? 나는 어째서 이곳에 있었던 것일까?"
그래도 피망은 먹기 싫단 말이에욧,넥스트에디션 강남5호점,https://next-edition.s3.amazonaws.com/theme/title_image_url/%EA%B7%B8%EB%9E%98%EB%8F%84%20%ED%94%BC%EB%A7%9D%EC%9D%80%20%EB%A8%B9%EA%B8%B0%20%EC%8B%AB%EB%8B%A8%20%EB%A7%90%EC%9D%B4%EC%97%90%EC%9A%A7/poster_theme__%E1%84%91%E1%85%B5%E1%84%86%E1%85%A1%E1%86%BC_%E1%84%91%E1%85%A9%E1%84%89%E1%85%B3%E1%84%90%E1%85%A5_%E1%84%89%E1%85%AE%E1%84%8C%E1%85%A5%E1%86%BC_%E1%84%8C%E1%85%A5%E1%84%8B%E1%85%AD%E1%86%BC%E1%84%85%E1%85%A3%E1%86%BC__%EA%B7%B8%EB%9E%98%EB%8F%84%20%ED%94%BC%EB%A7%9D%EC%9D%80%20%EB%A8%B9%EA%B8%B0%20%EC%8B%AB%EB%8B%A8%20%EB%A7%90%EC%9D%B4%EC%97%90%EC%9A%A7.jpg,참교육,3인이상(물리적혼방/2인가능),고기좋은데..힝
